Year,# ,Jobs
1959,2,"Business executive, fashion model"
1960,2,"Fashion designer, singer"
1961,3,"Ballerina, flight attendant, nurse"
1962,0,
1963,3,"Babysitter (accessories only), business executive, cheerleader"
1964,3,"Cheerleader (clothing pack only), candy striper (clothing pack only), drum majorette"
1965,3,"Astronaut, fashion editor, student teacher"
1966,1,Flight attendant
1967,0,
1968,0,
1969,0,
1970,0,
1971,0,
1972,0,
1973,2,"Flight attendant (clothing pack only), surgeon"
1974,1,Olympic gymnast
1975,3,"Olympic figure skater, Olympic skier, Olympic swimmer"
1976,3,"Ballerina, babysitter (accessories only), equestrian"
1977,2,"Actress, Olympic swimmer"
1978,0,
1979,1,Tennis player
1980,1,Actress
1981,0,
1982,3,"McDonald's cashier (playset), makeup department worker (playset), fashion department worker (playset)"
1983,0,
1984,2,"Aerobics instructor, ballerina"
1985,3,"Astronaut, business executive, veterinarian"
1986,3,"Rock star, singer, travel agent (playset)"
1987,6,"Canadian Mountie, crepe shop worker, game show host (playset), ice cream cart owner, maid, singer"
1988,5,"Actress, candy and ice cream parlor worker, doctor, Olympic figure skater, singer"
1989,6,"Ice cream shop worker, pianist, pilot, rock star, United States Army officer, UNICEF Ambassador"
1990,3,"Figure skater, restaurant owner, singer"
1991,6,"Ballroom dancer, chef (clothing pack only), school teacher, United States Air Force pilot, United States Marine Corps sergeant, United States Navy petty officer QM1"
1992,10,"Beach snack stand worker (playset), business executive, cheerleader, fashion designer (clothing pack only), rapper, Rockette, supermarket cashier (playset), United States Army officer, United States presidential candidate, veterinarian"
1993,10,"Army medic, baseball player, doctor, firefighter (clothing pack only), gymnast, jillaroo, police officer, school teacher (clothing pack only), United States Air Force Thunderbirds pilot, veterinarian (clothing pack only)"
1994,7,"Actress, astronaut, Country Western singer, lifeguard, McDonald's cashier (playset), pet groomer (playset), scuba diver"
1995,14,"African safari guide (clothing pack only), ballerina (clothing pack only), chef (clothing pack only), circus performer, doctor, elementary school teacher, fashion designer, firefighter, nurse, Olympic gymnast, pediatrician, pilot, singer, superhero"
1996,9,"Chef (clothing pack only), doctor, figure skater, paleontologist, Palmer's clothing store employee, pediatrician (playset), shopkeeper, singer, Starfleet security officer"
1997,10,"Astronaut (clothing pack only), Country Western singer, cowgirl, dentist, elementary school teacher, Japan Airlines flight attendant, Olympic figure skater, pilot, preschool teacher (playset), tennis player (clothing pack only)"
1998,11,"Bake shop worker, carriage driver, Country Western singer, ice cream shop worker (playset), MLB player, NASCAR driver, NBA player, rock star, soccer player, soda fountain waitress, WNBA player"
