jobs,year
business executive,1959
fashion model,1959
fashion designer,1960
singer,1960
ballerina,1961
flight attendant,1961
nurse,1961
,1962
babysitter,1963
business executive,1963
cheerleader,1963
cheerleader,1964
candy striper,1964
drum majorette,1964
astronaut,1965
fashion editor,1965
student teacher,1965
flight attendant,1966
,1967
,1968
,1969
,1970
,1971
,1972
flight attendant,1973
surgeon,1973
olympic gymnast,1974
olympic figure skater,1975
olympic skier,1975
olympic swimmer,1975
ballerina,1976
babysitter,1976
equestrian,1976
actress,1977
olympic swimmer,1977
,1978
tennis player,1979
actress,1980
,1981
mcdonald's cashier,1982
makeup department worker,1982
fashion department worker,1982
,1983
aerobics instructor,1984
ballerina,1984
astronaut,1985
business executive,1985
veterinarian,1985
rock star,1986
singer,1986
travel agent,1986
canadian mountie,1987
crepe shop worker,1987
game show host,1987
ice cream cart owner,1987
maid,1987
singer,1987
actress,1988
candy and ice cream parlor worker,1988
doctor,1988
olympic figure skater,1988
singer,1988
ice cream shop worker,1989
pianist,1989
pilot,1989
rock star,1989
united states army officer,1989
unicef ambassador,1989
figure skater,1990
restaurant owner,1990
singer,1990
ballroom dancer,1991
chef,1991
school teacher,1991
united states air force pilot,1991
united states marine corps sergeant,1991
united states navy petty officer qm1,1991
beach snack stand worker,1992
business executive,1992
cheerleader,1992
fashion designer,1992
rapper,1992
rockette,1992
supermarket cashier,1992
united states army officer,1992
united states presidential candidate,1992
veterinarian,1992
army medic,1993
baseball player,1993
doctor,1993
firefighter,1993
gymnast,1993
jillaroo,1993
police officer,1993
school teacher,1993
united states air force thunderbirds pilot,1993
veterinarian,1993
actress,1994
astronaut,1994
country western singer,1994
lifeguard,1994
mcdonald's cashier,1994
pet groomer,1994
scuba diver,1994
african safari guide,1995
ballerina,1995
chef,1995
circus performer,1995
doctor,1995
elementary school teacher,1995
fashion designer,1995
firefighter,1995
nurse,1995
olympic gymnast,1995
pediatrician,1995
pilot,1995
singer,1995
superhero,1995
chef,1996
doctor,1996
figure skater,1996
paleontologist,1996
palmer's clothing store employee,1996
pediatrician,1996
shopkeeper,1996
singer,1996
starfleet security officer,1996
astronaut,1997
country western singer,1997
cowgirl,1997
dentist,1997
elementary school teacher,1997
japan airlines flight attendant,1997
olympic figure skater,1997
pilot,1997
preschool teacher,1997
tennis player,1997
bake shop worker,1998
carriage driver,1998
country western singer,1998
ice cream shop worker,1998
mlb player,1998
nascar driver,1998
nba player,1998
rock star,1998
soccer player,1998
soda fountain waitress,1998
wnba player,1998
actress,1999
avon representative,1999
business executive,1999
country western singer,1999
detective,1999
fashion trend forecaster,1999
florist,1999
matador,1999
nascar driver,1999
outdoor beauty store worker,1999
pilot,1999
rock star,1999
see's candies cashier,1999
sign language teacher,1999
soccer player,1999
tour guide,1999
actress,2000
bowler,2000
cheerleader,2000
elementary school teacher,2000
fashion editor,2000
fashion model,2000
figure skater,2000
formula one driver,2000
lute player,2000
olympic swimmer,2000
pediatrician,2000
spanish language teacher,2000
united states presidential candidate,2000
actress,2001
fashion designer,2001
fashion model,2001
mcdonald's cashier,2001
pediatrician,2001
pizza hut cashier,2001
train conductor,2001
train hostess,2001
united states air force pilot,2001
actress,2002
art teacher,2002
drum majorette,2002
fashion designer,2002
fashion model,2002
olympic figure skater,2002
outdoor beauty store worker,2002
pop singer,2002
singer,2002
spy,2002
actress,2003
dentist,2003
fashion model,2003
pediatrician,2003
actress,2004
bard,2004
cowgirl,2004
fashion model,2004
united states presidential candidate,2004
fashion model,2005
film producer,2005
veterinarian,2005
ballerina,2006
bake shop worker,2006
